category,sub_id,sub_name,title,artist,videoId,url,license,source,length_sec,focus,origin
A 시스템,A1_prelude,프렐류드/타이틀,If Dogs Had A Theme Song,Alexander Nakarada,5Ha7ebhJ7N0,https://www.youtube.com/watch?v=5Ha7ebhJ7N0,CC BY 4.0,https://www.creatorchords.com/,1470,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Pocket Playground OST - Main Menu & Alts,Ben Burnes (Abstraction),n5zJLIH6VdA,https://www.youtube.com/watch?v=n5zJLIH6VdA,Free with attribution,https://abstractionmusic.com/,473,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Tron: Legacy Main Theme - Re-orchestrated (Orchestral Remix),Scott Buckley,LnfKij7ezr0,https://www.youtube.com/watch?v=LnfKij7ezr0,CC BY 4.0,https://www.scottbuckley.com.au/,435,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Alexandr Zhelanov - FP Main Menu (FREE TO USE),Alexandr Zhelanov,7P2mxYQrq90,https://www.youtube.com/watch?v=7P2mxYQrq90,CC BY 3.0/4.0,https://soundcloud.com/alexandr-zhelanov,293,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,"Retro Bowl Theme Song - “8 Bit Joy!""",HeatleyBros,TdXFHKjJopI,https://www.youtube.com/watch?v=TdXFHKjJopI,Free with attribution,https://www.heatleybros.com/,287,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Through the Eyes of a Dragon - Draconia Main Theme,Vindsvept,hQqrSpwAOnU,https://www.youtube.com/watch?v=hQqrSpwAOnU,Free with attribution (non-commercial),https://vindsvept.bandcamp.com/,281,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,ループ -黄昏 夜空 タイトルBGM by hitoshi /,Senses Circuit,HBzv__iPqxw,https://www.youtube.com/watch?v=HBzv__iPqxw,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,275,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Man Down,Kevin MacLeod,ZMLakJIiLwc,https://www.youtube.com/watch?v=ZMLakJIiLwc,CC BY 4.0,https://incompetech.com/,199,4,incompetech
A 시스템,A1_prelude,프렐류드/타이틀,Sad Piano Music Frozen Sword OST Main Theme,Darren Curtis,S8fGSRqvjts,https://www.youtube.com/watch?v=S8fGSRqvjts,Free with attribution,https://www.darrencurtismusic.com/,172,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Press Start /,Kyatto,vEdavg_cCQM,https://www.youtube.com/watch?v=vEdavg_cCQM,Free with attribution,https://www.youtube.com/@Kyatto,158,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,半沢直樹 メインテーマ 恩返しバージョン,MusMus,GxUBRT-5p_g,https://www.youtube.com/watch?v=GxUBRT-5p_g,Free with attribution (musmus.main.jp),https://musmus.main.jp/,152,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,Prelude I - Steven O'Brien,Steven O'Brien,wP1kXAmKLEY,https://www.youtube.com/watch?v=wP1kXAmKLEY,CC BY 4.0,https://www.steven-obrien.net/,114,3,channel
A 시스템,A1_prelude,프렐류드/타이틀,Project Sparrow (Main Title music),Meydän,O2ccaBSD-gA,https://www.youtube.com/watch?v=O2ccaBSD-gA,CC BY 4.0,https://meydan.bandcamp.com/,83,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,BH03: Menu Screen - Aaron Krogh,Aaron Krogh,g3KMzlST4ms,https://www.youtube.com/watch?v=g3KMzlST4ms,Free with attribution,https://soundcloud.com/aaron-anderson-11,81,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,Title Screen,Visager,P8bR3y1WugQ,https://www.youtube.com/watch?v=P8bR3y1WugQ,CC BY 4.0,https://visager.bandcamp.com/,75,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,Kai Engel - Prelude - Bells in Heavy Clouds - Music,Kai Engel,m3Mm_jaBIVw,https://www.youtube.com/watch?v=m3Mm_jaBIVw,CC BY 4.0,https://www.kai-engel.com/,168,1,channel
A 시스템,A1_prelude,프렐류드/타이틀,タイトル画面にサイバー16,魔王魂 (森田交一),f6sO0PJPc28,https://www.youtube.com/watch?v=f6sO0PJPc28,Free with attribution (maou.audio terms),https://maou.audio/,51,1,channel
A 시스템,A1_prelude,프렐류드/타이틀,Wizards of Magic | Menu Theme for Video Games | by Tim Beek,Tim Beek,efAemh_44sk,https://www.youtube.com/watch?v=efAemh_44sk,Free with attribution (timbeek.com),https://timbeek.com/,42,1,channel
A 시스템,A1_prelude,프렐류드/타이틀,"1. ""Main Theme"" - Royalty Free Epic Game/Film Music",Alexander Nakarada,O0HUCAp_k9E,https://www.youtube.com/watch?v=O0HUCAp_k9E,CC BY 4.0,https://www.creatorchords.com/,74,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,Star Trek Main Theme (Orchestral Mock-up),Scott Buckley,MMVf1agVFbY,https://www.youtube.com/watch?v=MMVf1agVFbY,CC BY 4.0,https://www.scottbuckley.com.au/,74,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,Alexandr Zhelanov - Menu Theme,Alexandr Zhelanov,f4c4fh1R6JU,https://www.youtube.com/watch?v=f4c4fh1R6JU,CC BY 3.0/4.0,https://soundcloud.com/alexandr-zhelanov,65,2,channel
A 시스템,A1_prelude,프렐류드/타이틀,NFL Retro Bowl '25 Theme Song - “8 Bit Legend”,HeatleyBros,Z3Pw56IN0QM,https://www.youtube.com/watch?v=Z3Pw56IN0QM,Free with attribution,https://www.heatleybros.com/,257,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,ループ -ゲーム開始・タイトル・オープニング by hitoshi /,Senses Circuit,FS08q75Fh-A,https://www.youtube.com/watch?v=FS08q75Fh-A,Free with attribution (senses-circuit.com),https://www.senses-circuit.com/,247,4,channel
A 시스템,A1_prelude,프렐류드/타이틀,Improved Ice Cream Truck Theme Song,Kevin MacLeod,2kWzOj25esk,https://www.youtube.com/watch?v=2kWzOj25esk,CC BY 4.0,https://incompetech.com/,52,1,channel
